claim_id,claim_text,evidence_source,metric_or_result,main_text_or_appendix,strength,qualification
C01,The empirical system is grounded in real trajectories and a directed road network,stage0/docs/stage0_v6_final_report.md; stage1/docs/stage1_input_coverage_report.md,"220000 target high-quality orders with frozen route products",Main text,STRONG,Applies to retained Stage1-quality orders
C02,Map matching and conservation checks support link-level route grounding,stage0/docs/stage0_v6_final_600_report.md,"600-order reconciliation and conservation gates",Appendix,STRONG,Not a guarantee that every route is perfect
C03,Decision-time prediction excludes future realized Test31 information,stage3/output/odd_tod/s4/test31_m3_predictions.json,"decision_time_only=true; realized_future_time_used=false",Main text,STRONG,Prediction accuracy varies by dimension
C04,The AV interface separates hard feasibility from static dynamic and speed utilization,stage3/output/odd_tod/final/test31_stage3_to_stage4_interface.parquet,"hard_state plus three rho families",Main text,STRONG,Operational compatibility is not safety certification
C05,Prediction information changes one-epoch decision structure,stage4/output/paper_enhancement/frozen_state_prediction_ablation/ablation_summary.csv,"9/10 changed sets; AV-arc Jaccard 0.10",Main text,MODERATE,Fixed-state evidence only; no full-day extrapolation
C06,Nominal AV share does not convert one-for-one into dispatchable service capacity,stage4/output/paper_enhancement/gate_decomposition,"same-unit prospective gate evidence and frozen main experiments",Main text,STRONG,Mechanism is operational not causal decomposition of every gate
C07,Passenger acceptance becomes more consequential as AV share rises,stage4/output/final_experiments,"acceptance sensitivity across frozen q_A scenarios",Main text,MODERATE,Not the sole cause of high-q deterioration
C08,STRICT REFERENCE and UNCONSTRAINED policies produce distinct exposure-service outcomes,stage4/output/final_experiments/ODD_Q50_M_P70_REFERENCE,"tested policy contrasts",Main text,MODERATE,REFERENCE is not a global optimum or frontier knee
C09,Family-specific Gamma constraints preserve separate operational meaning,stage4/docs/paper_redesign/theory_notes_v2.md,"Propositions 1–3",Main text,STRONG,Caps are not safety probabilities
C10,Frozen fleet reconstruction is spatially representative of Test31 supply,stage4/docs/paper_redesign/fleet_spatial_representativeness.md,"TVD 0.054; Spearman 0.965; hotspot overlap 0.889",Appendix,STRONG,Represents observed supply rather than an optimized fleet
C11,Canonical idle vehicles do not randomly roam,stage4/docs/paper_redesign/repositioning_and_fleet_reconstruction_closure.md,"idle stays at current/drop-off position",Main text,DESCRIPTIVE,No proactive rebalancing in baseline
C12,The effect of proactive repositioning is not identified,stage4/docs/paper_redesign/repositioning_and_fleet_reconstruction_closure.md,"deterministic full-day run stopped at cost threshold",Limitations,LIMITATION,No evidence for or against effectiveness
