claim_id,section,paper_claim,supporting_table_or_figure,supporting_scenario_or_metric,numerical_support,scope_guardrail
R51_FLEET,5.1,"Higher modeled AV active-hour penetration was associated with lower effective service capacity.","Table 1; Figure 1; factorial_effects.csv","q_A marginal mean service rate","0.7258 at q=.25; 0.5984 at q=.50; 0.3924 at q=.75; change -.3334 (-45.9%)","Deterministic Test31 contrast; not a general AV-technology effect."
R51_WAIT,5.1,"Similar matched-passenger P95 pickup times did not imply similar platform performance.","Table 1; factorial_effects.csv","Main-factorial P95 range and service-rate range","P95 289.3-293.0 s while service rate spans 0.3544-0.7309","Waiting quantiles are conditional on matched passengers."
R52_ACCEPT,5.2,"Passenger acceptance became more operationally consequential at higher AV penetration.","Table 2; Figure 2; interaction_contrasts.csv","Profile M AcceptanceGain and q_A x p_A contrast","Gain 0.0087 at q=.25 and 0.0477 at q=.75; descriptive interaction 0.0390","p_A is an exogenous scenario probability; no behavioral or causal estimate."
R53_CAPABILITY,5.3,"A broader assumed capability profile mitigated but did not eliminate the fleet-composition effect.","Table 2; Figure 1; factorial_effects.csv","C-to-A contrast at q=.75 and p=.70","Service improvement +0.0330","C/M/A are analytical reference profiles, not certification classes."
R54_BENCH,5.4,"Equal active vehicle-hours did not yield equal effective service capacity across compositions.","Table 3; benchmark_comparison.csv","BENCH_HV; M,p=.70 mixed anchors; BENCH_AV_M","0.7889 vs 0.7297/0.6044/0.4013 vs 0.1515","BENCH_AV_M is an all-AV composition extreme, not a performance upper bound."
R54_TEMPORAL,5.4,"Peak service fell and queue pressure rose along the HV-to-AV anchor sequence.","Table 3; Figure 3; temporal_mechanism_15min.csv","Five frozen temporal anchors","Service 0.7705/0.6959/0.5661/0.3743/0.1381; queue pressure 0.1222/0.1512/0.1921/0.2298/0.2566","Descriptive peak-window pattern; no causal channel decomposition."
R54_STOCK,5.4,"The temporal pattern was inconsistent with a simple shortage of logged total available stock.","Table 3; Figure 3; temporal_mechanism_15min.csv","Mean total available stock for five anchors","378.5/370.6/377.6/413.5/467.0","HV and AV available stock are not logged separately."
R55_FAMILY,5.5,"The dominant operational-envelope dimensions changed with assumed capability.","Table 4; Figure 4; family_activity_summary.csv","Mean positive activity by profile and family","C static/dynamic/speed 0.9248/0.7739/0.7073; M 0.8698/0.4764/0.0006; A 0.6394/0.1822/0.0000","Exposure is reference-envelope utilization, not safety or failure probability."
R55_SPEED,5.5,"Speed exposure was active under C, nearly inactive under M, and inactive under A.","Table 4; Figure 4; family_activity_summary.csv","Positive assigned speed-exposure share","C 0.7073; M 0.0006; A 0.0000","Profile-dependent analytical result only."
R56_POLICY_SERVICE,5.6,"REFERENCE preserved almost all UNCONSTRAINED service in the tested policy scenario.","Table 5; Figure 5; odd_policy_tradeoff.csv","REFERENCE versus UNCONSTRAINED","Service 0.6038 vs 0.6044; loss 0.0007 (0.1%)","Single central policy scenario; no safety or optimality claim."
R56_POLICY_EXPOSURE,5.6,"REFERENCE reduced static and dynamic cumulative exposure relative to UNCONSTRAINED.","Table 5; Figure 5; odd_policy_tradeoff.csv","REFERENCE exposure reductions","Static 9.6%; dynamic 5.6%; speed undefined because unconstrained denominator is zero","Families remain separate; no weighted risk score."
R56_STRICT,5.6,"The zero-exposure STRICT boundary incurred a larger service and AV-utilization cost.","Table 5; Figure 5; odd_policy_tradeoff.csv","STRICT versus UNCONSTRAINED","Service loss 0.0512 (8.5%); AV-share change -0.1104","Zero exposure is not evidence of safe or certified operation."
R56_PROVENANCE,5.6,"REFERENCE used a once-calibrated and then fixed Gamma budget.","Table 5; odd_policy_tradeoff.csv; frozen result-analysis report","Calibration source","q=.25; profile M; p=1.0; UNCONSTRAINED","Not recalibrated on the q=.50,p=.70 policy scenario."
R57_COST,5.7,"A small local pickup-objective relaxation reduced normalized cost within every eta pair.","Table 6; cost_pairwise_robustness.csv","epsilon=.05 minus epsilon=0 within eta","Cost per matched order change -1.60% to -0.54%","No cross-eta raw-cost ranking; normalized cost is not monetary."
R57_COMPOSITION,5.7,"The fleet-composition response to cost-aware tie-breaking depended on eta.","Table 6; cost_pairwise_robustness.csv","Within-eta AV assignment-share change","+0.0145/+0.0129/-0.0041/-0.0174 for eta .50/.75/1.00/1.25","Descriptive pairwise response; 5% is a local, not full-day, pickup guarantee."
D6_STAGED,6.6,"Penetration, capability, acceptance, and ODD-aware dispatch should be evaluated jointly in staged deployment analysis.","Tables 1-6; Figures 1-5","Synthesis of frozen factorial, temporal, family, policy, and cost contrasts","Multiple documented interactions; no single factor preserves service across the tested grid","Framework-specific managerial synthesis, not a universal policy prescription."
