adjudication_case_id,complex_r10,selection_stratum,selection_rank,reused_existing_qa,complexes_r05,member_node_count_r05_total,member_node_count_r10,adjudication_label,reviewer_note,allowed_labels
s2b11_001,s3ic_a94dbaa073ef0c583d412f53,signalized,250301fe4b42eb4d52d93026853c2ebf332db898dc185dec9873664018ea7fc0,TRUE,"[""s3ic_4f11931bdb8f86d00e113298"", ""s3ic_bccdaf6f746356209e773f9f"", ""s3ic_cf22dfae9fd8ebb1e8671e78""]",6,6,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_002,s3ic_f600544cf7d69b5c25299663,signalized,48fedc9df12bf965bcd3f7aa38065c387b72cba45d9d2f47cb9118ba2c01adc3,TRUE,"[""s3ic_6fe1ea7af4cc2b47135e4b83"", ""s3ic_8b6d249970385ec3f24eb580"", ""s3ic_a63e05c5cbc8910efa6e0cd0"", ""s3ic_ea688db82b6f25d9f5400e50""]",4,4,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_003,s3ic_3da87b08d629daf396d8b84b,signalized,71a1af40ac31cbd9574ebb536126578f3777d4efccedf9eb9c79599bd8d00ef7,TRUE,"[""s3ic_5122a0c7b081fb8b6ee0486f"", ""s3ic_f7f30ddfdbaa832a0537fac6""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_004,s3ic_69696bb2b75b0a2987d68614,signalized,97e14b10889ecfdaf7f0987814dc59eda79e934289ce7104769b3e57ef32046e,TRUE,"[""s3ic_212ccfbb973136ac0e3b76a0"", ""s3ic_cc08a9e604259fd531de3235"", ""s3ic_e32d1a8faaf77c4ac9bde1cd"", ""s3ic_fd361e5603391999334afaf4""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_005,s3ic_d7ef8bb5786aa38757b858dc,signalized,b957ef7c5ef0e32e8bd41eba857b48d687ce09a80d20d9ed7dd36c6512c71805,TRUE,"[""s3ic_5950dd5de8a0164b5f0651a4"", ""s3ic_6490e8b562eda776ec5c822c"", ""s3ic_96abd9af91c4e238ddab6da2"", ""s3ic_f10db35eb143775becebb05b""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_006,s3ic_3e0e441950c38a9fdde8ff60,signalized,cd8da00ec08534a9aafa9ebf10f99f7630e1382658bf9bc3ef311d30e28ad1ca,TRUE,"[""s3ic_1db065d988d434669995492d"", ""s3ic_3a034fea07eb2b7adfab15ba"", ""s3ic_655ce9df8359417285a85de8""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_007,s3ic_0ebeba4693d8420d87cac238,signalized,f72eccb285f0942c10bbe7b63a699f4174473c128ddc30a0e0c91f9a115d5eab,TRUE,"[""s3ic_5c3cd43091f9f3dec99495c8"", ""s3ic_b34e9330e9fb34216185161d"", ""s3ic_f9f4d6628929c2666673eff8""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_008,s3ic_450c34e008b91b34933ee7a5,signalized,ffaad035bbf392a93ed1de5f1936ae776c472e372f107b027e63168c02594bf6,TRUE,"[""s3ic_79944666b4d4ac51262f07bb"", ""s3ic_de55e249a89fee845de97a0c""]",2,2,NEITHER,"""This is a massive interchange with tons of ramps and entrances, so a 10-meter range just isn't enough","[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_009,s3ic_86d8b21a06863e115b59c49b,signalized,009bd27ded8af785642b789496c8b5996e8ee7b7ecb3e965c84d0c59febec7c2,FALSE,"[""s3ic_425224efbfc2cfd8f9808322"", ""s3ic_58b71dc4788b5a5dcb45b3ac""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_010,s3ic_687b4b1298aac4b5f7ae559b,signalized,00ac22c514501c0f014c5c55beeafbdaf9d1e5d7eed5d7e4d6092de2865ac856,FALSE,"[""s3ic_9bf414dec9daa617072ec54a"", ""s3ic_c58907a10b414c62055d3be3""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
