run_id,workstream,base_scenario,variant,scientific_question,changed_component,unchanged_components,seed,status,runtime,output_path,notes,policy_version,train_reference_provenance
GATE_LOG_AUDIT_4_ANCHORS,gate_decomposition,MAIN_Q25_M_P70|MAIN_Q50_M_P70|MAIN_Q75_M_P70|BENCH_AV_M,existing_frozen_logs_only,Where are nominal AV opportunities lost?,none_read_only_analysis,all_frozen_scenarios_and_outputs,not_applicable,STOPPED_UNIDENTIFIABLE,not_applicable_read_only,stage4/output/paper_enhancement/gate_decomposition,Complete funnel prohibited because like-for-like denominators and AV-only pickup/Gamma gates are absent.,,
GATE_SHADOW_MAIN_Q25_M_P70,prospective_gate_logging,MAIN_Q25_M_P70,shadow_diagnostic_same_unit_av_opportunity,Where do nominal nearby AV opportunities cease to become dispatch-eligible?,diagnostic_counters_only,routing|candidate_pruning|solver|acceptance|fleet|seed|availability|canonical_outputs,20260827,COMPLETED_REPRODUCED,3315.819527,stage4/output/paper_enhancement/gate_decomposition/reruns/MAIN_Q25_M_P70,Shadow counters only; canonical request and assignment fingerprints match.,,
GATE_SHADOW_MAIN_Q50_M_P70,prospective_gate_logging,MAIN_Q50_M_P70,shadow_diagnostic_same_unit_av_opportunity,Where do nominal nearby AV opportunities cease to become dispatch-eligible?,diagnostic_counters_only,routing|candidate_pruning|solver|acceptance|fleet|seed|availability|canonical_outputs,20260827,COMPLETED_REPRODUCED,1796.425867,stage4/output/paper_enhancement/gate_decomposition/reruns/MAIN_Q50_M_P70,Shadow counters only; canonical request and assignment fingerprints match.,,
GATE_SHADOW_MAIN_Q75_M_P70,prospective_gate_logging,MAIN_Q75_M_P70,shadow_diagnostic_same_unit_av_opportunity,Where do nominal nearby AV opportunities cease to become dispatch-eligible?,diagnostic_counters_only,routing|candidate_pruning|solver|acceptance|fleet|seed|availability|canonical_outputs,20260827,COMPLETED_REPRODUCED,6894.858979,stage4/output/paper_enhancement/gate_decomposition/reruns/MAIN_Q75_M_P70,Shadow counters only; canonical request and assignment fingerprints match.,,
GATE_SHADOW_BENCH_AV_M,prospective_gate_logging,BENCH_AV_M,shadow_diagnostic_same_unit_av_opportunity,Where do nominal nearby AV opportunities cease to become dispatch-eligible?,diagnostic_counters_only,routing|candidate_pruning|solver|acceptance|fleet|seed|availability|canonical_outputs,20260827,COMPLETED_REPRODUCED,495.922212,stage4/output/paper_enhancement/gate_decomposition/reruns/BENCH_AV_M,Shadow counters only; canonical request and assignment fingerprints match.,,
R1_Q25_M_P70_REPOS,REPOSITIONING_ROBUSTNESS,MAIN_Q25_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does Train-only AV rebalancing explain high-q_A service deterioration?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|routing|candidate_pruning|solver|horizon,20260827,BLOCKED_BY_REPRO_GATE,,stage4/output/paper_enhancement/repositioning_robustness/enabled/R1_Q25_M_P70_REPOS,Enabled run not started; Q50 no-reposition anchor failed exact canonical reproduction.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
R1_Q50_M_P70_REPOS,REPOSITIONING_ROBUSTNESS,MAIN_Q50_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does Train-only AV rebalancing explain high-q_A service deterioration?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|routing|candidate_pruning|solver|horizon,20260827,BLOCKED_BY_REPRO_GATE,,stage4/output/paper_enhancement/repositioning_robustness/enabled/R1_Q50_M_P70_REPOS,Enabled run not started; Q50 no-reposition anchor failed exact canonical reproduction.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
R1_Q75_M_P70_REPOS,REPOSITIONING_ROBUSTNESS,MAIN_Q75_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does Train-only AV rebalancing explain high-q_A service deterioration?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|routing|candidate_pruning|solver|horizon,20260827,BLOCKED_BY_REPRO_GATE,,stage4/output/paper_enhancement/repositioning_robustness/enabled/R1_Q75_M_P70_REPOS,Enabled run not started; Q50 no-reposition anchor failed exact canonical reproduction.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
R1_BENCH_AV_M_REPOS,REPOSITIONING_ROBUSTNESS,BENCH_AV_M,TRAIN_TOD_DEMAND_BALANCE,Does Train-only AV rebalancing explain high-q_A service deterioration?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|routing|candidate_pruning|solver|horizon,20260827,BLOCKED_BY_REPRO_GATE,,stage4/output/paper_enhancement/repositioning_robustness/enabled/R1_BENCH_AV_M_REPOS,Enabled run not started; Q50 no-reposition anchor failed exact canonical reproduction.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
DET_Q50_M_P70_CONTROL_A,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q50_M_P70,NO_REPOSITION_CONTROL,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,ARC_LEVEL_ROUTING_MODE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/q50_repeatability/DET_Q50_M_P70_CONTROL_A,Superseded before a valid full-day result by efficiency-first R0.5c.,,
