artifact_id,stage,path,description,created_by_commit,input_source,status,used_by,known_issue,replacement_artifact
legacy_stage0__od_work,stage0,stage0/output/_od_work,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0__work,stage0,stage0/output/_work,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_case_traces,stage0,stage0/output/case_traces,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_link_traversals,stage0,stage0/output/fast_link_traversals,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_matched_points,stage0,stage0/output/fast_matched_points,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_observed_link_traversals,stage0,stage0/output/fast_observed_link_traversals,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_observed_turn_movements,stage0,stage0/output/fast_observed_turn_movements,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_quality_parts,stage0,stage0/output/fast_quality_parts,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_quality_reports,stage0,stage0/output/fast_quality_reports,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_route_parts,stage0,stage0/output/fast_route_parts,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_fast_turn_movements,stage0,stage0/output/fast_turn_movements,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_link_traversals,stage0,stage0/output/hmm_link_traversals,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_matched_points,stage0,stage0/output/hmm_matched_points,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_observed_link_traversals,stage0,stage0/output/hmm_observed_link_traversals,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_observed_turn_movements,stage0,stage0/output/hmm_observed_turn_movements,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_quality_parts,stage0,stage0/output/hmm_quality_parts,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_quality_reports,stage0,stage0/output/hmm_quality_reports,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_route_parts,stage0,stage0/output/hmm_route_parts,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_state_sequences,stage0,stage0/output/hmm_state_sequences,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_hmm_turn_movements,stage0,stage0/output/hmm_turn_movements,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
