number_id,manuscript_section,quoted_value,definition,scenario_or_population,source_file,source_field_or_row,status
N001,2.1,30000,requests replayed per scenario,Test31,stage4/docs/paper_redesign/paper_storyline_v3.md,experimental design,PASS
N002,2.2,removed,earlier approximate mapping rate lacked a unique authoritative denominator,upstream retained data,stage1/docs/stage1_input_coverage_report.md,not quoted in manuscript,REMOVED_NOT_TRACEABLE
N003,2.4,12279.336389 h,exact all-HV baseline active hours,all-HV baseline,stage4/docs/paper_redesign/fleet_spatial_representativeness.md,H_base_exact,PASS
N004,4.1,30 s,rolling epoch length,all scenarios,stage4/docs/full_paper/full_manuscript_draft.md,rolling configuration,PASS
N005,4.1,5 min,maximum order patience carry-over,all scenarios,stage4/docs/full_paper/full_manuscript_draft.md,rolling configuration,PASS
N006,4.1,2-8 km,expanding candidate radius,all scenarios,stage4/docs/full_paper/full_manuscript_draft.md,candidate configuration,PASS
N007,4.1,20,Top-K vehicles per order,all scenarios,stage4/docs/full_paper/full_manuscript_draft.md,candidate configuration,PASS
N008,5.1,27,main factorial scenarios,3x3x3,stage4/docs/paper_redesign/paper_storyline_v3.md,design summary,PASS
N009,5.1,"0.25;0.50;0.75",q_A levels,main factorial,stage4/output/result_analysis/factorial_effects.csv,q_A,PASS
N010,5.1,"0.40;0.70;1.00",passenger acceptance levels,main factorial,stage4/output/result_analysis/factorial_effects.csv,p_accept,PASS
N011,5.2,41,canonical scenario count,full experiment,stage4/docs/paper_redesign/paper_storyline_v3.md,scenario count,PASS
N012,5.2,0.05,cost service tolerance,cost robustness,stage4/output/result_analysis/cost_pairwise_robustness.csv,epsilon,PASS
N013,6.2,0.7258,mean service rate,q_A=.25 across 9 cells,stage4/output/result_analysis/factorial_effects.csv,mean_service_rate,PASS
N014,6.2,0.5984,mean service rate,q_A=.50 across 9 cells,stage4/output/result_analysis/factorial_effects.csv,mean_service_rate,PASS
N015,6.2,0.3924,mean service rate,q_A=.75 across 9 cells,stage4/output/result_analysis/factorial_effects.csv,mean_service_rate,PASS
